timestamp,symbol,order_id,order_type,side,price,volume,order_status,trader_id,execution_id
2024-11-01 09:33:25,AAPL,ORD025,limit,buy,150.35,50000,placed,trader_022,
2024-11-01 09:33:30,AAPL,ORD026,limit,sell,150.45,48000,placed,trader_022,
2024-11-01 09:33:35,AAPL,ORD027,market,sell,150.40,25000,executed,trader_023,EXE011
2024-11-01 09:33:40,AAPL,ORD027,market,sell,150.40,25000,filled,trader_023,EXE011
2024-11-01 09:33:45,AAPL,ORD025,limit,buy,150.35,50000,cancelled,trader_022,
2024-11-01 09:33:50,AAPL,ORD026,limit,sell,150.45,48000,cancelled,trader_022,
2024-11-01 09:34:00,MSFT,ORD028,limit,buy,310.70,2500,executed,trader_024,EXE012
2024-11-01 09:34:05,MSFT,ORD028,limit,buy,310.70,2500,filled,trader_024,EXE012
2024-11-01 09:34:10,AAPL,ORD029,limit,buy,150.35,2200,executed,trader_025,EXE013
2024-11-01 09:34:15,AAPL,ORD029,limit,buy,150.35,2200,filled,trader_025,EXE013
2024-11-01 09:34:20,TSLA,ORD030,market,sell,245.75,1600,executed,trader_026,EXE014
2024-11-01 09:34:25,TSLA,ORD030,market,sell,245.75,1600,filled,trader_026,EXE014
2024-11-01 09:34:30,AAPL,ORD031,limit,buy,150.40,2000,placed,trader_027,
2024-11-01 09:34:35,AAPL,ORD032,limit,sell,150.50,1900,placed,trader_027,
2024-11-01 09:34:40,AAPL,ORD033,limit,buy,150.38,2100,placed,trader_027,
2024-11-01 09:34:45,AAPL,ORD034,limit,sell,150.52,2000,placed,trader_027,
2024-11-01 09:34:50,AAPL,ORD035,limit,buy,150.42,1950,placed,trader_027,
2024-11-01 09:34:55,AAPL,ORD031,limit,buy,150.40,2000,cancelled,trader_027,
2024-11-01 09:35:00,AAPL,ORD032,limit,sell,150.50,1900,cancelled,trader_027,
2024-11-01 09:35:05,AAPL,ORD033,limit,buy,150.38,2100,cancelled,trader_027,
2024-11-01 09:35:10,AAPL,ORD034,limit,sell,150.52,2000,cancelled,trader_027,
2024-11-01 09:35:15,AAPL,ORD035,limit,buy,150.42,1950,cancelled,trader_027,
2024-11-01 09:35:20,AAPL,ORD036,market,buy,152.80,45000,executed,trader_028,EXE015
2024-11-01 09:35:25,AAPL,ORD036,market,buy,152.80,45000,filled,trader_028,EXE015
2024-11-01 09:35:30,AAPL,ORD037,market,sell,152.85,43000,executed,trader_029,EXE016
2024-11-01 09:35:35,AAPL,ORD037,market,sell,152.85,43000,filled,trader_029,EXE016
2024-11-01 09:35:40,AAPL,ORD038,market,buy,152.90,47000,executed,trader_030,EXE017
2024-11-01 09:35:45,AAPL,ORD038,market,buy,152.90,47000,filled,trader_030,EXE017
2024-11-01 09:35:50,GOOGL,ORD039,limit,sell,2525.25,800,executed,trader_031,EXE018
2024-11-01 09:35:55,GOOGL,ORD039,limit,sell,2525.25,800,filled,trader_031,EXE018
2024-11-01 09:36:00,AAPL,ORD040,limit,buy,150.00,100000,placed,trader_032,
2024-11-01 09:36:05,AAPL,ORD041,limit,sell,156.00,95000,placed,trader_032,
2024-11-01 09:36:10,AAPL,ORD040,limit,buy,150.00,100000,cancelled,trader_032,
2024-11-01 09:36:15,AAPL,ORD041,limit,sell,156.00,95000,cancelled,trader_032,
2024-11-01 09:36:20,MSFT,ORD042,market,buy,311.20,3500,executed,trader_033,EXE019
2024-11-01 09:36:25,MSFT,ORD042,market,buy,311.20,3500,filled,trader_033,EXE019
2024-11-01 09:36:30,TSLA,ORD043,limit,sell,246.15,1750,executed,trader_034,EXE020
2024-11-01 09:36:35,TSLA,ORD043,limit,sell,246.15,1750,filled,trader_034,EXE020
2024-11-01 09:37:00,AAPL,ORD044,market,buy,153.15,2800,executed,trader_035,EXE021
2024-11-01 09:37:05,AAPL,ORD044,market,buy,153.15,2800,filled,trader_035,EXE021
2024-11-01 09:37:10,AAPL,ORD045,limit,buy,153.15,2800,placed,trader_036,
2024-11-01 09:37:15,AAPL,ORD046,limit,buy,153.15,2800,placed,trader_037,
2024-11-01 09:37:20,AAPL,ORD047,limit,buy,153.15,2800,placed,trader_038,
2024-11-01 09:37:25,AAPL,ORD048,limit,buy,153.15,2800,placed,trader_039,
2024-11-01 09:37:30,AAPL,ORD049,limit,buy,153.15,2800,placed,trader_040,
2024-11-01 09:37:35,AAPL,ORD045,limit,buy,153.15,2800,executed,trader_036,EXE022
2024-11-01 09:37:40,AAPL,ORD045,limit,buy,153.15,2800,filled,trader_036,EXE022
2024-11-01 09:37:45,AAPL,ORD046,limit,buy,153.15,2800,executed,trader_037,EXE023
2024-11-01 09:37:50,AAPL,ORD046,limit,buy,153.15,2800,filled,trader_037,EXE023
2024-11-01 09:37:55,AAPL,ORD047,limit,buy,153.15,2800,executed,trader_038,EXE024
2024-11-01 09:38:00,AAPL,ORD047,limit,buy,153.15,2800,filled,trader_038,EXE024
2024-11-01 09:38:05,AAPL,ORD048,limit,buy,153.15,2800,executed,trader_039,EXE025
2024-11-01 09:38:10,AAPL,ORD048,limit,buy,153.15,2800,filled,trader_039,EXE025
2024-11-01 09:38:15,AAPL,ORD049,limit,buy,153.15,2800,executed,trader_040,EXE026
2024-11-01 09:38:20,AAPL,ORD049,limit,buy,153.15,2800,filled,trader_040,EXE026
2024-11-01 09:38:25,GOOGL,ORD050,market,sell,2527.80,600,executed,trader_041,EXE027
2024-11-01 09:38:30,GOOGL,ORD050,market,sell,2527.80,600,filled,trader_041,EXE027
2024-11-01 09:38:35,MSFT,ORD051,limit,buy,311.45,3100,executed,trader_042,EXE028
2024-11-01 09:38:40,MSFT,ORD051,limit,buy,311.45,3100,filled,trader_042,EXE028
2024-11-01 09:39:00,AAPL,ORD052,market,sell,148.75,25000,executed,trader_043,EXE029
2024-11-01 09:39:05,AAPL,ORD052,market,sell,148.75,25000,filled,trader_043,EXE029
2024-11-01 09:39:10,AAPL,ORD053,market,sell,148.70,24500,executed,trader_044,EXE030
2024-11-01 09:39:15,AAPL,ORD053,market,sell,148.70,24500,filled,trader_044,EXE030
2024-11-01 09:39:20,AAPL,ORD054,market,sell,148.65,26000,executed,trader_045,EXE031
2024-11-01 09:39:25,AAPL,ORD054,market,sell,148.65,26000,filled,trader_045,EXE031
2024-11-01 09:39:30,AAPL,ORD055,limit,buy,147.00,200000,placed,trader_046,
2024-11-01 09:39:35,AAPL,ORD055,limit,buy,147.00,200000,cancelled,trader_046,
2024-11-01 17:30:15,AAPL,ORD056,market,buy,151.70,5000,executed,trader_047,EXE032
2024-11-01 17:30:20,AAPL,ORD056,market,buy,151.70,5000,filled,trader_047,EXE032
2024-11-01 17:30:25,GOOGL,ORD057,limit,sell,2570.15,300,executed,trader_048,EXE033
2024-11-01 17:30:30,GOOGL,ORD057,limit,sell,2570.15,300,filled,trader_048,EXE033
2024-11-01 17:31:00,MSFT,ORD058,market,buy,316.10,1500,executed,trader_049,EXE034
2024-11-01 17:31:05,MSFT,ORD058,market,buy,316.10,1500,filled,trader_049,EXE034
2024-11-01 17:31:10,TSLA,ORD059,limit,sell,252.45,1200,executed,trader_050,EXE035
2024-11-01 17:31:15,TSLA,ORD059,limit,sell,252.45,1200,filled,trader_050,EXE035
2024-11-01 06:15:30,AAPL,ORD060,market,buy,151.60,8000,executed,trader_051,EXE036
2024-11-01 06:15:35,AAPL,ORD060,market,buy,151.60,8000,filled,trader_051,EXE036
2024-11-01 06:16:00,GOOGL,ORD061,limit,sell,2568.90,200,executed,trader_052,EXE037
2024-11-01 06:16:05,GOOGL,ORD061,limit,sell,2568.90,200,filled,trader_052,EXE037
2024-11-01 09:35:10.100,AAPL,ORD062,market,buy,152.78,1000,executed,trader_053,EXE038
2024-11-01 09:35:10.150,AAPL,ORD062,market,buy,152.78,1000,filled,trader_053,EXE038
2024-11-01 09:35:10.200,AAPL,ORD063,market,buy,152.79,1100,executed,trader_054,EXE039
2024-11-01 09:35:10.250,AAPL,ORD063,market,buy,152.79,1100,filled,trader_054,EXE039
2024-11-01 09:35:10.300,AAPL,ORD064,market,buy,152.80,1200,executed,trader_055,EXE040
2024-11-01 09:35:10.350,AAPL,ORD064,market,buy,152.80,1200,filled,trader_055,EXE040
2024-11-01 09:35:10.400,AAPL,ORD065,market,buy,152.81,1300,executed,trader_056,EXE041
2024-11-01 09:35:10.450,AAPL,ORD065,market,buy,152.81,1300,filled,trader_056,EXE041
2024-11-01 09:35:10.500,AAPL,ORD066,market,buy,152.82,1400,executed,trader_057,EXE042
2024-11-01 09:35:10.550,AAPL,ORD066,market,buy,152.82,1400,filled,trader_057,EXE042
2024-11-01 10:15:30,AAPL,ORD067,market,sell,145.20,35000,executed,trader_058,EXE043
2024-11-01 10:15:35,AAPL,ORD067,market,sell,145.20,35000,filled,trader_058,EXE043
2024-11-01 10:15:40,AAPL,ORD068,market,sell,145.15,34000,executed,trader_059,EXE044
2024-11-01 10:15:45,AAPL,ORD068,market,sell,145.15,34000,filled,trader_059,EXE044
2024-11-01 10:16:00,AAPL,ORD069,market,sell,145.10,36000,executed,trader_060,EXE045
2024-11-01 10:16:05,AAPL,ORD069,market,sell,145.10,36000,filled,trader_060,EXE045
2024-11-01 14:45:00,AAPL,ORD070,limit,buy,149.50,2500,placed,trader_061,
2024-11-01 14:45:05,AAPL,ORD071,limit,buy,149.50,2500,placed,trader_062,
2024-11-01 14:45:10,AAPL,ORD072,limit,buy,149.50,2500,placed,trader_063,
2024-11-01 14:45:15,AAPL,ORD073,limit,buy,149.50,2500,placed,trader_064,
2024-11-01 14:45:20,AAPL,ORD074,limit,buy,149.50,2500,placed,trader_065,
2024-11-01 14:45:25,AAPL,ORD075,limit,buy,149.50,2500,placed,trader_066,
2024-11-01 14:45:30,AAPL,ORD070,limit,buy,149.50,2500,modified,trader_061,
2024-11-01 14:45:35,AAPL,ORD070,limit,buy,149.55,2500,placed,trader_061,
2024-11-01 14:45:40,AAPL,ORD071,limit,buy,149.50,2500,modified,trader_062,
2024-11-01 14:45:45,AAPL,ORD071,limit,buy,149.55,2500,placed,trader_062,
